stock_symbol,company_name,abbreviation,sector_id,address,chairman,general_manager,spokesperson,spokesperson_title,founding_date,otc_listed_date,outstanding_common_shares,private_placement_common_shares,preferred_shares,common_stock_dividend_frequency,common_stock_dividend_decision_level,accounting_firm,accountant_1,accountant_2,website
7708,全家國際餐飲股份有限公司,全家餐飲,30,台北市中山區中山北路二段61號3樓,吳勝福,辛紫綾,辛紫綾,總經理,2010-09-06,2024-11-15,25500000,0,0,每年,董事會,資誠聯合會計師事務所,蔡亦臺,鄭裕仁,http://www.familygourmet.com.tw/
7709,榮田精機股份有限公司,榮田,11,高雄市湖內區中山路二段6號,陳松田,陳政鈞,李振宏,財務主管,1987-05-21,2025-02-25,39102740,0,0,每年,董事會,勤業眾信聯合會計師事務所,劉裕祥,許瑞軒,https://www.honorseiki.com
7712,博盛半導體股份有限公司,博盛半導體,1,新竹縣竹北市高鐵二路３２號６樓之3,孟祥集,孟祥集,彭卓蘭,行政管理處副總經理,2014-04-30,2024-12-26,32561873,0,0,每年,董事會,安侯建業聯合會計師事務所,陳宗哲,賴麗真,http://www.potens-semi.com
7713,威力德生醫股份有限公司,威力德生醫,19,高雄市三民區民族一路80號19樓之1、2,周國忠,陳泓仁,羅怡君,副總經理,2003-04-28,2025-02-24,45478843,0,0,每年,董事會,勤業眾信聯合會計師事務所,陳珍麗,吳秋燕,https://www.weleader.com.tw
7714,創泓科技股份有限公司,創泓科技,17,臺北市內湖區洲子街77號10樓,黃健寧,朱陳儀珍,曾耀德,副總經理,2010-12-29,2025-01-15,21000000,0,0,每半會計年度,董事會,勤業眾信聯合會計師事務所,龔則立,周仕杰,www.uniforce.com.tw
7715,裕山環境工程股份有限公司,裕山,28,高雄市三民區民族一路80號30樓之二,劉原宏,張育祺,官長勝,專案事業部營運長,1993-11-09,2025-01-15,33022500,0,0,每年,董事會,安永聯合會計師事務所,陳政初會計師,洪國森會計師,http://www.yseec.com
7718,友鋮股份有限公司,友鋮,5,台南市東區東門路一段358號9樓之4,張宏誠,張宏誠,張棟卿,管理部門副總經理,2001-10-02,2025-03-18,46356484,0,0,每年,股東會,安永聯合會計師事務所,洪國森會計師,李芳文會計師,https://www.spec.com.tw/
7723,築間餐飲事業股份有限公司,築間,30,台中市西屯區臺灣大道三段789號14樓之2,林楷傑,周秀花,高偉傑,財務長,2020-12-15,2025-04-30,50619550,0,0,每半會計年度,董事會,安侯建業聯合會計師事務所,洪士剛,莊鈞維,https://www.jhujian.com.tw/
7728,光焱科技股份有限公司,光焱科技,14,高雄市路竹區路科五路96號1樓,柯歷亞,廖華賢,廖清霖,協理,2009-03-02,2025-03-06,13854080,0,0,每年,董事會,安永聯合會計師事務所,陳政初,李芳文,https://enlitechnology.com/zh-hant/
7734,印能科技股份有限公司,印能科技,1,新竹市香山區大湖路173號,洪誌宏,洪誌宏,蘇桓平,副總經理,2007-09-27,2025-02-26,22335000,0,0,每年,股東會,勤業眾信聯合會計師事務所,陳明煇會計師,林政治會計師,http://www.ableprint.com.tw
